Customer_Name,Customer_Job,Customer_Age,Gender,Credit_Rating,Collateral_Type,Customer_ID
Fatma Ghanem,Teacher,37,Male,D,,CUST-1056
Dina El-Sayed,Sales_Rep,52,Male,B,Land,CUST-1057
Salma Mansour,Freelancer,47,Female,B,Vehicle,CUST-1058
Mona Mansour,Freelancer,52,Female,B,Vehicle,CUST-1059
Ibrahim Hamdy,Doctor,42,Female,B,Vehicle,CUST-1060
Hoda Saied,Freelancer,40,Female,D,Vehicle,CUST-1061
Wael Abdel-Aziz,Engineer,50,Female,D,Vehicle,CUST-1062
Bassem Amr,Accountant,28,Female,C,Land,CUST-1063
Amira Amr,Teacher,32,Female,D,,CUST-1064
Bassem Ghanem,Accountant,21,Male,D,,CUST-1065
Omar Fawzy,Sales_Rep,62,Female,B,,CUST-1066
Heba Amr,Accountant,61,Female,A,,CUST-1067
Fatma Hamdy,Sales_Rep,32,Female,A,,CUST-1068
Sherif Reda,Engineer,41,Female,B,,CUST-1069
Ahmed Saied,Accountant,57,Female,C,Land,CUST-1070
Omar Amr,Teacher,22,Female,D,Land,CUST-1071
Fatma El-Sayed,Freelancer,33,Male,D,,CUST-1072
Mona Hamdy,Technician,37,Male,A,,CUST-1073
Sherif Hamdy,Accountant,56,Female,A,Land,CUST-1074
Mostafa Ghanem,Engineer,37,Female,D,,CUST-1075
Hoda Abdel-Aziz,Technician,38,Male,A,Vehicle,CUST-1076
Karim Reda,Accountant,60,Male,B,,CUST-1077
Dina Amr,Accountant,37,Male,C,,CUST-1078
Heba Saied,Accountant,24,Male,A,Land,CUST-1079
Ibrahim Amr,Accountant,50,Male,B,Vehicle,CUST-1080
Mahmoud El-Sayed,Accountant,39,Male,D,Land,CUST-1081
Fatma Hassan,Freelancer,54,Male,D,Land,CUST-1082
Dina Mansour,Teacher,61,Male,C,,CUST-1083
Hoda Hassan,Engineer,36,Male,A,,CUST-1084
Wael El-Sayed,Freelancer,50,Female,D,Land,CUST-1085
Amira Hamdy,Teacher,42,Male,C,Land,CUST-1086
Omar El-Sayed,Doctor,33,Male,B,Land,CUST-1087
Salma Mansour,Teacher,32,Female,A,,CUST-1088
Ibrahim Saied,Doctor,48,Female,B,Vehicle,CUST-1089
Mohamed Zaki,Sales_Rep,29,Male,B,,CUST-1090
Mona Nabil,Doctor,31,Male,C,,CUST-1091
Zaki Kamel,Engineer,62,Female,D,Land,CUST-1092
Mahmoud Hamdy,Teacher,56,Male,A,,CUST-1093
,Accountant,56,Female,A,Vehicle,CUST-1094
Zaki El-Sayed,Accountant,24,Female,A,Vehicle,CUST-1095
Omar Ghanem,Accountant,54,Female,C,Vehicle,CUST-1096
Salma Reda,Engineer,24,Female,A,Land,CUST-1097
Fatma Nabil,Teacher,43,Female,C,Vehicle,CUST-1098
,Freelancer,26,Male,C,Land,CUST-1099
Ahmed Amr,Technician,29,Male,C,Land,CUST-1100
Nabil Ibrahim,Freelancer,59,Female,A,Vehicle,CUST-1101
Hoda Mansour,Doctor,23,Female,A,,CUST-1102
Hoda Hamdy,Sales_Rep,57,Male,C,Land,CUST-1103
Ahmed El-Sayed,Freelancer,23,Female,B,Vehicle,CUST-1104
Amira El-Sayed,Freelancer,63,Female,A,,CUST-1105
Mahmoud Kamel,Freelancer,27,Male,B,Land,CUST-1106
Ahmed Mahmoud,Technician,36,Female,B,Land,CUST-1107
Hassan Zaki,Engineer,35,Male,A,,CUST-1108
Ahmed Hassan,Accountant,55,Female,C,,CUST-1109
Omar Ghanem,Doctor,42,Female,C,Vehicle,CUST-1110
Hamdy Abdel-Aziz,Accountant,33,Male,C,Vehicle,CUST-1111
Mahmoud Nabil,Sales_Rep,29,Female,A,Land,CUST-1112
Ibrahim Mansour,Engineer,24,Male,C,Vehicle,CUST-1113
Tarek El-Sayed,Sales_Rep,50,Male,D,,CUST-1114
Karim Zaki,Accountant,26,Male,D,Vehicle,CUST-1115
Sherif Ghanem,Doctor,64,Female,D,Land,CUST-1116
Karim Ibrahim,Sales_Rep,53,Female,C,Vehicle,CUST-1117
Dina Kamel,Freelancer,43,Male,A,Vehicle,CUST-1118
Bassem Saied,Accountant,59,Male,D,Vehicle,CUST-1119
Zaki Hassan,Doctor,53,Female,A,Vehicle,CUST-1120
Salma Amr,Teacher,50,Male,D,Land,CUST-1121
Tarek Hassan,Teacher,56,Male,C,,CUST-1122
Amira Hamdy,Accountant,39,Female,B,Vehicle,CUST-1123
Mostafa Abdel-Aziz,Teacher,43,Male,B,,CUST-1124
Mahmoud Ibrahim,Engineer,43,Female,D,Vehicle,CUST-1125
Mohamed Fawzy,Sales_Rep,65,Female,A,Vehicle,CUST-1126
,Accountant,34,Male,C,Land,CUST-1127
Sara Mansour,Accountant,38,Male,B,Vehicle,CUST-1128
Hamdy Mansour,Engineer,58,Female,B,,CUST-1129
Wael Fawzy,Accountant,49,Male,C,Land,CUST-1130
Ibrahim Mahmoud,Teacher,65,Male,A,Land,CUST-1131
Mona Mahmoud,Doctor,46,Female,A,Land,CUST-1132
Salma Saied,Teacher,40,Female,D,Land,CUST-1133
Ahmed Ibrahim,Technician,53,Female,C,Vehicle,CUST-1134
,Accountant,25,Male,C,Land,CUST-1135
Mona Ibrahim,Teacher,35,Female,C,,CUST-1136
Zaki Ibrahim,Technician,32,Female,D,Land,CUST-1137
Ahmed Mahmoud,Engineer,29,Male,A,Land,CUST-1138
Fatma Amr,Technician,45,Male,D,,CUST-1139
Hassan Abdel-Aziz,Teacher,44,Female,B,Land,CUST-1140
Wael Mahmoud,Freelancer,44,Female,D,Vehicle,CUST-1141
Mostafa Zaki,Doctor,64,Female,B,Vehicle,CUST-1142
Hamdy Reda,Teacher,58,Female,A,Vehicle,CUST-1143
Ibrahim Abdel-Aziz,Doctor,39,Female,B,Land,CUST-1144
Heba Nabil,Teacher,39,Female,D,,CUST-1145
Zaki Ibrahim,Engineer,53,Female,D,,CUST-1146
Khaled Reda,Teacher,33,Male,D,Land,CUST-1147
Bassem Amr,Accountant,28,Male,C,Vehicle,CUST-1148
Heba Ghanem,Accountant,55,Male,C,,CUST-1149
Ahmed Mansour,Engineer,33,Male,A,,CUST-1150
Nabil Amr,Technician,51,Male,C,,CUST-1151
Hassan Mansour,Sales_Rep,40,Male,B,,CUST-1152
Ahmed Mansour,Technician,49,Male,D,,CUST-1153
Heba Ibrahim,Teacher,24,Male,B,Vehicle,CUST-1154
Omar Saied,Doctor,50,Female,D,Vehicle,CUST-1155
Salma Hassan,Teacher,34,Male,A,Vehicle,CUST-1156
Layla Amr,Technician,36,Male,A,Vehicle,CUST-1157
Mostafa Nabil,Freelancer,45,Male,C,Vehicle,CUST-1158
Mahmoud Mahmoud,Accountant,28,Female,C,Land,CUST-1159
Fatma Saied,Doctor,50,Male,A,Vehicle,CUST-1160
Bassem Zaki,Technician,56,Male,D,Land,CUST-1161
Ahmed Adel,Sales_Rep,64,Male,B,Land,CUST-1162
Layla El-Sayed,Sales_Rep,50,Male,D,Land,CUST-1163
Hoda Ibrahim,Freelancer,60,Male,C,Land,CUST-1164
Heba Amr,Accountant,59,Female,C,,CUST-1165
Hassan Fawzy,Freelancer,59,Male,A,,CUST-1166
Tarek Amr,Engineer,56,Female,A,,CUST-1167
Mostafa Fawzy,Accountant,23,Male,C,Land,CUST-1168
Sara Abdel-Aziz,Accountant,34,Male,B,Land,CUST-1169
Hassan Ghanem,Doctor,41,Male,C,,CUST-1170
Mona Nabil,Doctor,42,Female,B,,CUST-1171
Mahmoud Ghanem,Doctor,39,Female,C,Land,CUST-1172
Hamdy Fawzy,Teacher,63,Male,A,Vehicle,CUST-1173
Mohamed Reda,Engineer,44,Male,D,Vehicle,CUST-1174
Bassem Reda,Freelancer,28,Male,D,,CUST-1175
Mostafa Mansour,Engineer,61,Female,C,Land,CUST-1176
Karim Saied,Sales_Rep,43,Male,A,Vehicle,CUST-1177
Heba Amr,Engineer,41,Male,D,Vehicle,CUST-1178
Dina Kamel,Engineer,26,Male,C,Vehicle,CUST-1179
Mohamed El-Sayed,Technician,41,Female,D,Vehicle,CUST-1180
Layla Ghanem,Freelancer,42,Male,D,Land,CUST-1181
Ibrahim Nabil,Doctor,51,Male,D,Vehicle,CUST-1182
Ahmed Nabil,Accountant,24,Male,A,Land,CUST-1183
Salma Kamel,Sales_Rep,62,Female,D,Land,CUST-1184
Amira Mansour,Sales_Rep,57,Male,B,Land,CUST-1185
Ahmed Ghanem,Accountant,44,Female,B,Vehicle,CUST-1186
Mostafa Mansour,Engineer,31,Male,C,,CUST-1187
Sara Hamdy,Engineer,52,Female,B,Vehicle,CUST-1188
Hassan Nabil,Teacher,56,Male,A,,CUST-1189
Sara Mahmoud,Teacher,47,Female,A,,CUST-1190
,Doctor,25,Male,C,Vehicle,CUST-1191
Wael Nabil,Teacher,50,Female,B,,CUST-1192
Heba Saied,Technician,48,Male,A,Land,CUST-1193
,Freelancer,58,Female,B,,CUST-1194
Sara Adel,Sales_Rep,24,Male,C,Land,CUST-1195
Hoda Nabil,Freelancer,31,Female,B,Vehicle,CUST-1196
Mona Saied,Doctor,38,Female,B,,CUST-1197
Ahmed Kamel,Engineer,47,Female,D,Vehicle,CUST-1198
Amira Zaki,Teacher,43,Female,C,Land,CUST-1199
Sara Hamdy,Freelancer,27,Male,D,,CUST-1200
Heba Ghanem,Engineer,39,Male,C,Vehicle,CUST-1201
Dina Zaki,Technician,32,Male,A,,CUST-1202
Mahmoud Saied,Doctor,54,Male,C,Land,CUST-1203
Wael Saied,Doctor,22,Male,C,Land,CUST-1204
Hassan Hamdy,Teacher,33,Male,C,,CUST-1205
Amira Ibrahim,Technician,44,Female,C,Vehicle,CUST-1206
Sherif Mansour,Engineer,30,Male,C,Land,CUST-1207
Omar Fawzy,Engineer,30,Female,B,Land,CUST-1208
Nabil Nabil,Teacher,62,Male,B,Land,CUST-1209
Mohamed Hamdy,Technician,64,Female,B,,CUST-1210
Hassan Ibrahim,Sales_Rep,36,Male,D,,CUST-1211
Nabil Amr,Doctor,49,Male,A,Land,CUST-1212
Zaki Hassan,Teacher,28,Female,B,Land,CUST-1213
Layla Amr,Freelancer,57,Male,D,Land,CUST-1214
Omar Ibrahim,Sales_Rep,38,Male,A,Vehicle,CUST-1215
Fatma Mahmoud,Accountant,37,Male,D,Vehicle,CUST-1216
Dina Reda,Teacher,43,Female,D,Land,CUST-1217
Fatma Adel,Doctor,64,Male,D,Vehicle,CUST-1218
Dina Ghanem,Freelancer,62,Male,A,Land,CUST-1219
Ibrahim Nabil,Technician,55,Female,D,Vehicle,CUST-1220
,Teacher,23,Female,A,,CUST-1221
Hoda Kamel,Engineer,62,Female,C,,CUST-1222
Omar Fawzy,Freelancer,21,Female,A,Land,CUST-1223
Omar Adel,Freelancer,45,Female,A,,CUST-1224
Sara Mahmoud,Technician,34,Female,B,,CUST-1225
Zaki Hamdy,Freelancer,64,Male,D,,CUST-1226
Sherif Hassan,Doctor,59,Male,C,Vehicle,CUST-1227
Ibrahim Zaki,Sales_Rep,48,Male,C,Land,CUST-1228
Fatma Hassan,Freelancer,40,Female,C,,CUST-1229
Layla Hamdy,Teacher,23,Male,B,,CUST-1230
Karim Ibrahim,Technician,26,Female,B,Land,CUST-1231
Mahmoud Nabil,Freelancer,22,Female,B,,CUST-1232
Sara Mahmoud,Doctor,43,Male,A,,CUST-1233
Sara El-Sayed,Technician,46,Female,C,Land,CUST-1234
Fatma Hamdy,Technician,24,Male,C,Land,CUST-1235
Amira El-Sayed,Freelancer,37,Female,A,,CUST-1236
Mostafa Zaki,Freelancer,49,Male,D,Land,CUST-1237
Nabil Adel,Sales_Rep,24,Female,B,Vehicle,CUST-1238
Dina Kamel,Doctor,52,Male,B,,CUST-1239
Bassem El-Sayed,Freelancer,42,Female,D,,CUST-1240
Tarek Ghanem,Sales_Rep,65,Male,B,Land,CUST-1241
Mona Hamdy,Freelancer,34,Female,C,Land,CUST-1242
Mahmoud Hamdy,Technician,53,Male,D,Land,CUST-1243
Sherif Kamel,Technician,21,Female,A,Land,CUST-1244
Hassan Mansour,Engineer,65,Male,D,,CUST-1245
Mahmoud Ibrahim,Freelancer,60,Female,D,Vehicle,CUST-1246
Tarek Reda,Freelancer,56,Male,A,Land,CUST-1247
Sara Kamel,Sales_Rep,37,Male,C,,CUST-1248
Tarek Ghanem,Sales_Rep,33,Male,D,Land,CUST-1249
Fatma Fawzy,Doctor,50,Female,B,,CUST-1250
Wael Ghanem,Freelancer,30,Female,A,Vehicle,CUST-1251
Amira Fawzy,Doctor,47,Male,D,,CUST-1252
Omar Ibrahim,Doctor,51,Female,B,Land,CUST-1253
Mahmoud Hassan,Engineer,35,Female,A,,CUST-1254
Hassan Amr,Engineer,42,Female,D,Vehicle,CUST-1255
Hassan El-Sayed,Accountant,32,Male,A,Land,CUST-1256
Ibrahim El-Sayed,Teacher,29,Male,C,,CUST-1257
Salma El-Sayed,Accountant,21,Female,A,,CUST-1258
Amira Mansour,Sales_Rep,53,Female,C,Land,CUST-1259
Nabil Adel,Teacher,27,Female,A,Vehicle,CUST-1260
Sara Mahmoud,Teacher,32,Male,A,Vehicle,CUST-1261
Wael Nabil,Technician,50,Female,C,Vehicle,CUST-1262
Khaled Hassan,Technician,48,Male,D,Land,CUST-1263
Hassan Ibrahim,Doctor,63,Female,D,Vehicle,CUST-1264
Mostafa Kamel,Accountant,62,Male,B,,CUST-1265
Sara Ghanem,Technician,41,Female,B,Vehicle,CUST-1266
Dina Hassan,Doctor,33,Male,C,Land,CUST-1267
Omar Reda,Technician,52,Female,C,,CUST-1268
Dina Mansour,Doctor,60,Male,A,Vehicle,CUST-1269
Wael Kamel,Freelancer,58,Female,B,,CUST-1270
Mostafa Zaki,Teacher,27,Female,C,Vehicle,CUST-1271
Khaled Hassan,Engineer,21,Male,B,Land,CUST-1272
Khaled Adel,Engineer,57,Female,A,,CUST-1273
Ahmed Zaki,Freelancer,50,Male,B,,CUST-1274
Layla Ibrahim,Sales_Rep,29,Female,D,,CUST-1275
Omar Nabil,Technician,30,Male,A,Vehicle,CUST-1276
Karim Nabil,Doctor,60,Female,D,Vehicle,CUST-1277
Mohamed Hassan,Teacher,61,Male,A,Land,CUST-1278
Mostafa Reda,Teacher,24,Male,D,Land,CUST-1279
Zaki Nabil,Teacher,44,Male,D,,CUST-1280
Zaki Saied,Doctor,24,Female,A,Vehicle,CUST-1281
Wael Adel,Engineer,34,Female,D,,CUST-1282
Hoda Hamdy,Sales_Rep,62,Male,C,Land,CUST-1283
Tarek Reda,Freelancer,34,Female,A,Land,CUST-1284
Wael Fawzy,Doctor,23,Male,B,,CUST-1285
Sara Saied,Teacher,56,Female,C,,CUST-1286
Karim Hamdy,Teacher,57,Female,C,Vehicle,CUST-1287
Khaled Hassan,Doctor,62,Female,C,Land,CUST-1288
Sara Mahmoud,Sales_Rep,38,Male,A,Vehicle,CUST-1289
Zaki Mahmoud,Doctor,43,Female,C,Land,CUST-1290
Salma Nabil,Freelancer,44,Female,A,,CUST-1291
Nabil El-Sayed,Engineer,26,Male,A,,CUST-1292
Dina Abdel-Aziz,Freelancer,42,Female,A,Vehicle,CUST-1293
Sara Hamdy,Teacher,53,Male,C,Vehicle,CUST-1294
Amira Mahmoud,Accountant,27,Female,C,Land,CUST-1295
Ahmed Nabil,Sales_Rep,33,Female,C,Vehicle,CUST-1296
Dina Kamel,Doctor,49,Male,A,,CUST-1297
Hassan Amr,Accountant,62,Female,D,Land,CUST-1298
Salma Zaki,Freelancer,56,Female,C,Land,CUST-1299
Mona Nabil,Engineer,49,Female,D,,CUST-1300
Amira Kamel,Engineer,56,Male,B,,CUST-1301
Tarek Ghanem,Engineer,56,Female,C,Vehicle,CUST-1302
Hoda Nabil,Sales_Rep,46,Male,C,Land,CUST-1303
Salma Mansour,Engineer,28,Female,A,,CUST-1304
Hassan Mansour,Engineer,27,Female,A,Land,CUST-1305
Khaled Reda,Sales_Rep,56,Female,A,Vehicle,CUST-1306
Tarek Mahmoud,Freelancer,21,Male,B,,CUST-1307
Zaki Nabil,Teacher,21,Female,C,,CUST-1308
Sherif Abdel-Aziz,Engineer,28,Female,A,,CUST-1309
Dina Mahmoud,Doctor,38,Male,D,,CUST-1310
Heba Zaki,Freelancer,52,Male,A,Land,CUST-1311
Hamdy Amr,Doctor,59,Male,A,Land,CUST-1312
Heba Hamdy,Sales_Rep,47,Female,A,,CUST-1313
Bassem Mahmoud,Accountant,27,Female,B,Land,CUST-1314
Mahmoud El-Sayed,Doctor,39,Male,A,Vehicle,CUST-1315
Layla Adel,Engineer,51,Male,B,,CUST-1316
,Teacher,23,Female,D,Land,CUST-1317
Nabil Abdel-Aziz,Sales_Rep,26,Female,C,Land,CUST-1318
,Teacher,50,Female,A,Land,CUST-1319
,Doctor,23,Female,A,Vehicle,CUST-1320
Layla Zaki,Freelancer,49,Female,A,Land,CUST-1321
Heba El-Sayed,Doctor,32,Male,B,,CUST-1322
Tarek Mahmoud,Engineer,42,Female,B,,CUST-1323
Wael Mansour,Technician,44,Female,B,Vehicle,CUST-1324
Mahmoud El-Sayed,Teacher,25,Male,B,Vehicle,CUST-1325
Heba Mansour,Engineer,55,Female,B,,CUST-1326
Hoda Nabil,Freelancer,41,Female,D,Land,CUST-1327
Salma Amr,Teacher,36,Female,C,Land,CUST-1328
Hassan Saied,Teacher,39,Male,B,Land,CUST-1329
Sara Kamel,Teacher,30,Male,A,Land,CUST-1330
Amira Mahmoud,Doctor,26,Male,B,Vehicle,CUST-1331
Ibrahim El-Sayed,Engineer,36,Female,C,,CUST-1332
Mostafa Mahmoud,Doctor,50,Male,C,Land,CUST-1333
Wael Fawzy,Teacher,39,Male,A,Vehicle,CUST-1334
Amira Fawzy,Technician,47,Male,C,,CUST-1335
Hamdy Saied,Doctor,23,Female,C,Land,CUST-1336
Zaki Fawzy,Freelancer,57,Male,B,Land,CUST-1337
Omar Hassan,Sales_Rep,36,Male,C,Vehicle,CUST-1338
Nabil Adel,Freelancer,32,Male,B,Vehicle,CUST-1339
Nabil Fawzy,Technician,49,Male,D,Vehicle,CUST-1340
Heba Abdel-Aziz,Teacher,54,Male,B,Land,CUST-1341
Fatma Kamel,Accountant,57,Female,A,Land,CUST-1342
Wael Kamel,Freelancer,45,Male,A,Vehicle,CUST-1343
Mona Mahmoud,Doctor,55,Female,B,Land,CUST-1344
Zaki Abdel-Aziz,Accountant,47,Female,D,,CUST-1345
Dina Kamel,Technician,56,Female,B,,CUST-1346
Amira Mansour,Engineer,21,Male,B,,CUST-1347
Salma Fawzy,Technician,32,Female,B,Vehicle,CUST-1348
Ahmed Abdel-Aziz,Doctor,56,Female,A,Land,CUST-1349
Omar Zaki,Accountant,24,Male,D,,CUST-1350
Bassem Kamel,Doctor,32,Male,C,Vehicle,CUST-1351
Sherif Hassan,Freelancer,52,Male,B,Land,CUST-1352
Khaled Zaki,Engineer,44,Female,D,Land,CUST-1353
Fatma Ghanem,Engineer,58,Male,B,Land,CUST-1354
Wael Ibrahim,Doctor,61,Male,C,Land,CUST-1355
Mostafa Mansour,Accountant,51,Female,B,Vehicle,CUST-1356
Salma Kamel,Sales_Rep,27,Female,A,,CUST-1357
Omar Saied,Sales_Rep,29,Female,A,,CUST-1358
Hassan Zaki,Teacher,53,Male,A,,CUST-1359
Sherif Fawzy,Teacher,22,Male,B,,CUST-1360
Salma Kamel,Technician,54,Female,B,,CUST-1361
Ahmed Abdel-Aziz,Sales_Rep,26,Male,B,,CUST-1362
Wael Amr,Teacher,47,Male,D,Land,CUST-1363
Omar Nabil,Teacher,50,Female,C,,CUST-1364
Tarek Reda,Technician,37,Male,C,Land,CUST-1365
Sherif Saied,Technician,23,Male,B,Vehicle,CUST-1366
Wael Nabil,Freelancer,22,Male,D,Land,CUST-1367
Zaki Mansour,Teacher,52,Male,D,Vehicle,CUST-1368
Mona Abdel-Aziz,Doctor,51,Female,A,,CUST-1369
Mahmoud Ghanem,Doctor,33,Female,D,Vehicle,CUST-1370
Sara Fawzy,Engineer,41,Male,C,,CUST-1371
Wael Hassan,Engineer,60,Male,C,,CUST-1372
Omar Abdel-Aziz,Freelancer,65,Male,B,Land,CUST-1373
Fatma Hamdy,Sales_Rep,60,Male,B,Land,CUST-1374
Dina Adel,Freelancer,56,Female,D,Land,CUST-1375
Omar Abdel-Aziz,Doctor,54,Male,A,,CUST-1376
Zaki Mansour,Freelancer,37,Male,C,Vehicle,CUST-1377
Salma Fawzy,Accountant,24,Female,D,Vehicle,CUST-1378
Sara Adel,Teacher,27,Female,C,,CUST-1379
Dina Amr,Teacher,34,Female,A,,CUST-1380
Bassem Ghanem,Freelancer,47,Female,C,Vehicle,CUST-1381
Sara Hamdy,Teacher,46,Male,A,,CUST-1382
Mona Saied,Sales_Rep,33,Male,A,,CUST-1383
Hoda Adel,Teacher,54,Male,C,Land,CUST-1384
Heba Mansour,Doctor,22,Male,A,,CUST-1385
Sara Mahmoud,Teacher,29,Male,D,Vehicle,CUST-1386
,Freelancer,39,Male,C,Vehicle,CUST-1387
Wael Ibrahim,Technician,26,Male,D,Vehicle,CUST-1388
Sherif Ghanem,Teacher,43,Female,B,Vehicle,CUST-1389
Hassan Zaki,Doctor,45,Female,D,Land,CUST-1390
Dina Saied,Sales_Rep,62,Male,C,Vehicle,CUST-1391
Salma Mansour,Sales_Rep,42,Male,C,Vehicle,CUST-1392
Dina Ghanem,Engineer,24,Female,A,,CUST-1393
Karim Zaki,Freelancer,39,Female,A,Land,CUST-1394
Layla Hassan,Teacher,30,Female,D,,CUST-1395
Omar Amr,Engineer,41,Male,B,Land,CUST-1396
Hoda Abdel-Aziz,Technician,29,Female,A,,CUST-1397
,Teacher,45,Male,B,Vehicle,CUST-1398
Ahmed Nabil,Freelancer,51,Female,B,,CUST-1399
Mahmoud Adel,Doctor,53,Male,B,Vehicle,CUST-1400
Hoda Hassan,Sales_Rep,52,Female,D,Land,CUST-1401
Omar Mansour,Engineer,62,Male,D,Land,CUST-1402
Salma Hassan,Sales_Rep,49,Male,C,,CUST-1403
Zaki Saied,Teacher,50,Female,D,Land,CUST-1404
Mahmoud Saied,Doctor,55,Female,A,,CUST-1405
Wael Abdel-Aziz,Engineer,45,Male,A,Land,CUST-1406
Bassem Amr,Sales_Rep,52,Female,C,Land,CUST-1407
Karim Ibrahim,Teacher,37,Female,B,Land,CUST-1408
Khaled El-Sayed,Teacher,32,Male,B,,CUST-1409
Mona El-Sayed,Teacher,63,Female,C,Land,CUST-1410
Bassem Hamdy,Sales_Rep,36,Male,B,Land,CUST-1411
Sherif Abdel-Aziz,Technician,44,Female,D,Vehicle,CUST-1412
Bassem Hamdy,Freelancer,63,Male,B,,CUST-1413
,Teacher,33,Female,C,,CUST-1414
Tarek El-Sayed,Teacher,64,Male,A,,CUST-1415
Mahmoud Fawzy,Sales_Rep,54,Female,D,Land,CUST-1416
Mona Hassan,Teacher,36,Male,C,Vehicle,CUST-1417
Fatma Hamdy,Freelancer,47,Female,C,Vehicle,CUST-1418
Layla Adel,Technician,54,Male,C,,CUST-1419
Nabil Zaki,Accountant,60,Male,D,,CUST-1420
Wael Saied,Teacher,48,Female,A,Vehicle,CUST-1421
Layla Ghanem,Freelancer,57,Male,D,Vehicle,CUST-1422
Bassem Mahmoud,Freelancer,33,Female,A,Vehicle,CUST-1423
Layla Fawzy,Sales_Rep,35,Female,A,,CUST-1424
Dina Abdel-Aziz,Sales_Rep,49,Male,C,Vehicle,CUST-1425
Mona Hassan,Technician,49,Female,A,Land,CUST-1426
Sara Amr,Freelancer,23,Male,A,Land,CUST-1427
Amira Zaki,Accountant,55,Male,B,,CUST-1428
Hoda Fawzy,Sales_Rep,32,Female,A,,CUST-1429
Layla Adel,Engineer,59,Male,C,Vehicle,CUST-1430
Dina Hamdy,Sales_Rep,44,Male,C,Land,CUST-1431
Mahmoud Ghanem,Freelancer,21,Female,A,,CUST-1432
Amira El-Sayed,Sales_Rep,52,Male,B,Land,CUST-1433
Heba Abdel-Aziz,Sales_Rep,63,Female,B,Land,CUST-1434
Mona Hassan,Teacher,48,Male,B,Vehicle,CUST-1435
Zaki Fawzy,Freelancer,28,Male,C,Vehicle,CUST-1436
